Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
8b0484cd-3dbd-8b8d-1b72-a32f74a5a846,1957-04-07,,999-32-2242,S99944366,X13210523X,Mr.,Gregg522,Cummerata161,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,648 Gutkowski Parade,Amherst,Massachusetts,Hampshire County,,42.39226128390726,-72.47915233911309,1318721.22,4100.44
b8eb8d31-1031-fb5b-e207-b9815f80744c,1975-08-16,,999-70-2742,S99952609,X70704838X,Mr.,Lemuel304,Rodriguez71,,,S,asian,nonhispanic,M,Osaka  Osaka  JP,496 Deckow Mill Suite 32,Framingham,Massachusetts,Middlesex County,01702,42.26323274692336,-71.48126061723161,9089.75,0.0
ce9bd436-6b59-0452-86a4-61f3642736bc,1945-05-11,2015-04-09,999-54-1330,S99979547,X86639992X,Mr.,Leonardo412,Klein929,,,M,white,nonhispanic,M,Marlborough  Massachusetts  US,314 Brakus Forge Unit 94,New Bedford,Massachusetts,Bristol County,02744,41.6650300253844,-70.9145069837306,230547.34,5821.16
6fc3e360-ae68-c411-e091-4734df51eb18,1947-12-30,,999-59-9652,S99949959,X34069329X,Mrs.,Adelle43,Dooley940,,Hackett68,M,black,nonhispanic,F,North Amherst  Massachusetts  US,779 Haag Loaf,Wellesley,Massachusetts,Norfolk County,02457,42.31182957466637,-71.28631231209924,1568950.96,8597.39
ce4ce4d8-d4e2-aca2-5a92-8ce703c5077a,1993-02-05,,999-11-2438,S99932651,X80439009X,Mrs.,Veta780,Spencer878,,McKenzie376,M,white,nonhispanic,F,Lowell  Massachusetts  US,222 Fisher Dam Apt 74,New Bedford,Massachusetts,Bristol County,02747,41.6716449345809,-70.91487063974293,615324.99,9184.779999999999
b4c809c0-de80-1c62-ab58-7b885e475e76,1965-11-23,,999-49-5162,S99931885,X24243962X,Mrs.,Mittie376,Metz686,,D'Amore443,M,white,nonhispanic,F,Boston  Massachusetts  US,299 Jenkins Annex Suite 43,Haverhill,Massachusetts,Essex County,,42.82778223237173,-71.15168875071626,1238586.78,11146.3
4fdafa07-e5cb-9b2a-55c6-50902c49ccfb,1930-01-02,1937-09-22,999-80-8436,,,,Dara636,Miller503,,,,white,nonhispanic,F,Brockton  Massachusetts  US,842 Flatley Mall Apt 93,Concord,Massachusetts,Middlesex County,,42.45389049787106,-71.37458531789187,2759.66,0.0
69e46a15-edee-8a95-fc7b-f16e72e0aabf,1962-09-12,,999-30-7508,S99981219,X52404997X,Mr.,Trevor374,Kemmer137,,,M,asian,nonhispanic,M,Walpole  Massachusetts  US,377 Hickle Union Apt 74,Melrose,Massachusetts,Middlesex County,02176,42.480081814716826,-71.05793922002646,1578219.3900000001,5848.719999999999
b24e154c-14c4-8372-2b52-a466bc9b44fe,1959-05-30,,999-39-6580,S99932305,X6665262X,Mr.,Sammy219,Leffler128,,,M,white,nonhispanic,M,Pinehurst  Massachusetts  US,484 Cruickshank Underpass,Malden,Massachusetts,Middlesex County,02155,42.464574397234436,-71.13160171063541,28809.789999999997,0.0
a4840112-31e6-b8a8-296f-7a4b89bee4f7,1917-03-03,1980-09-29,999-78-2289,S99992123,X75878765X,Mr.,Jesus702,Bogisich202,,,S,white,nonhispanic,M,New Bedford  Massachusetts  US,932 Glover Brook Suite 3,Weymouth,Massachusetts,Norfolk County,02189,42.18126814084202,-70.9383771737513,1467310.22,4462.509999999999
